tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
14,5,107,3,5,4,4,4,4,4,4,4
14,5,107,3,6,4,4,4,4,4,4,4
14,5,107,3,7,4,4,4,4,4,4,4
14,5,107,3,8,4,4,4,4,4,4,4
14,5,108,0,0,4,4,4,4,4,4,4
14,5,108,0,1,4,4,4,4,4,4,4
14,5,108,0,2,4,4,4,4,4,4,4
14,5,108,0,3,4,4,4,4,4,4,4
14,5,108,0,4,4,4,4,4,4,4,4
14,5,108,0,5,4,4,4,4,4,4,4
14,5,108,0,6,4,4,4,4,4,4,4
14,5,108,0,7,4,4,4,4,4,4,4
14,5,108,0,8,4,4,4,4,4,4,4
14,5,108,1,0,4,4,4,4,4,4,4
14,5,108,1,1,4,4,4,4,4,4,4
14,5,108,1,2,4,4,4,4,4,4,4
14,5,108,1,3,4,4,4,4,4,4,4
14,5,108,1,4,4,4,4,4,4,4,4
14,5,108,1,5,4,4,4,4,4,4,4
14,5,108,1,6,4,4,4,4,4,4,4
14,5,108,1,7,4,4,4,4,4,4,4
14,5,108,1,8,4,4,4,4,4,4,4
14,5,108,2,0,4,4,4,4,4,4,4
14,5,108,2,1,4,4,4,4,4,4,4
14,5,108,2,2,4,4,4,4,4,4,4
14,5,108,2,3,4,4,4,4,4,4,4
14,5,108,2,4,4,4,4,4,4,4,4
14,5,108,2,5,4,4,4,4,4,4,4
14,5,108,2,6,4,4,4,4,4,4,4
14,5,108,2,7,4,4,4,4,4,4,4
14,5,108,2,8,4,4,4,4,4,4,4
14,5,108,3,0,4,4,4,4,4,4,4
14,5,108,3,1,4,4,4,4,4,4,4
14,5,108,3,2,4,4,4,4,4,4,4
14,5,108,3,3,4,4,4,4,4,4,4
14,5,108,3,4,4,4,4,4,4,4,4
14,5,108,3,5,4,4,4,4,4,4,4
14,5,108,3,6,4,4,4,4,4,4,4
14,5,108,3,7,4,4,4,4,4,4,4
14,5,108,3,8,4,4,4,4,4,4,4
14,5,109,0,0,4,4,4,4,4,4,4
14,5,109,0,1,4,4,4,4,4,4,4
14,5,109,0,2,4,4,4,4,4,4,4
14,5,109,0,3,4,4,4,4,4,4,4
14,5,109,0,4,4,4,4,4,4,4,4
14,5,109,0,5,4,4,4,4,4,4,4
14,5,109,0,6,4,4,4,4,4,4,4
14,5,109,0,7,4,4,4,4,4,4,4
14,5,109,0,8,4,4,4,4,4,4,4
14,5,109,1,0,4,4,4,4,4,4,4
14,5,109,1,1,4,4,4,4,4,4,4
14,5,109,1,2,4,4,4,4,4,4,4
14,5,109,1,3,4,4,4,4,4,4,4
14,5,109,1,4,4,4,4,4,4,4,4
14,5,109,1,5,4,4,4,4,4,4,4
14,5,109,1,6,4,4,4,4,4,4,4
14,5,109,1,7,4,4,4,4,4,4,4
14,5,109,1,8,4,4,4,4,4,4,4
14,5,109,2,0,4,4,4,4,4,4,4
14,5,109,2,1,4,4,4,4,4,4,4
14,5,109,2,2,4,4,4,4,4,4,4
14,5,109,2,3,4,4,4,4,4,4,4
14,5,109,2,4,4,4,4,4,4,4,4
14,5,109,2,5,4,4,4,4,4,4,4
14,5,109,2,6,4,4,4,4,4,4,4
14,5,109,2,7,4,4,4,4,4,4,4
14,5,109,2,8,4,4,4,4,4,4,4
14,5,109,3,0,4,4,4,4,4,4,4
14,5,109,3,1,4,4,4,4,4,4,4
14,5,109,3,2,4,4,4,4,4,4,4
14,5,109,3,3,4,4,4,4,4,4,4
14,5,109,3,4,4,4,4,4,4,4,4
14,5,109,3,5,4,4,4,4,4,4,4
14,5,109,3,6,4,4,4,4,4,4,4
14,5,109,3,7,4,4,4,4,4,4,4
14,5,109,3,8,4,4,4,4,4,4,4
14,5,110,0,0,4,4,4,4,4,4,4
14,5,110,0,1,4,4,4,4,4,4,4
14,5,110,0,2,4,4,4,4,4,4,4
14,5,110,0,3,4,4,4,4,4,4,4
14,5,110,0,4,4,4,4,4,4,4,4
14,5,110,0,5,4,4,4,4,4,4,4
14,5,110,0,6,4,4,4,4,4,4,4
14,5,110,0,7,4,4,4,4,4,4,4
14,5,110,0,8,4,4,4,4,4,4,4
14,5,110,1,0,4,4,4,4,4,4,4
14,5,110,1,1,4,4,4,4,4,4,4
14,5,110,1,2,4,4,4,4,4,4,4
14,5,110,1,3,4,4,4,4,4,4,4
14,5,110,1,4,4,4,4,4,4,4,4
14,5,110,1,5,4,4,4,4,4,4,4
14,5,110,1,6,4,4,4,4,4,4,4
14,5,110,1,7,4,4,4,4,4,4,4
14,5,110,1,8,4,4,4,4,4,4,4
14,5,110,2,0,4,4,4,4,4,4,4
14,5,110,2,1,4,4,4,4,4,4,4
14,5,110,2,2,4,4,4,4,4,4,4
14,5,110,2,3,4,4,4,4,4,4,4
14,5,110,2,4,4,4,4,4,4,4,4
14,5,110,2,5,4,4,4,4,4,4,4
14,5,110,2,6,4,4,4,4,4,4,4
14,5,110,2,7,4,4,4,4,4,4,4
14,5,110,2,8,4,4,4,4,4,4,4
14,5,110,3,0,4,4,4,4,4,4,4
14,5,110,3,1,4,4,4,4,4,4,4
14,5,110,3,2,4,4,4,4,4,4,4
14,5,110,3,3,4,4,4,4,4,4,4
14,5,110,3,4,4,4,4,4,4,4,4
14,5,110,3,5,4,4,4,4,4,4,4
14,5,110,3,6,4,4,4,4,4,4,4
14,5,110,3,7,4,4,4,4,4,4,4
14,5,110,3,8,4,4,4,4,4,4,4
14,5,111,0,0,4,4,4,4,4,4,4
14,5,111,0,1,4,4,4,4,4,4,4
14,5,111,0,2,4,4,4,4,4,4,4
14,5,111,0,3,4,4,4,4,4,4,4
14,5,111,0,4,4,4,4,4,4,4,4
14,5,111,0,5,4,4,4,4,4,4,4
14,5,111,0,6,4,4,4,4,4,4,4
14,5,111,0,7,4,4,4,4,4,4,4
14,5,111,0,8,4,4,4,4,4,4,4
14,5,111,1,0,4,4,4,4,4,4,4
14,5,111,1,1,4,4,4,4,4,4,4
14,5,111,1,2,4,4,4,4,4,4,4
14,5,111,1,3,4,4,4,4,4,4,4
14,5,111,1,4,4,4,4,4,4,4,4
14,5,111,1,5,4,4,4,4,4,4,4
14,5,111,1,6,4,4,4,4,4,4,4
14,5,111,1,7,4,4,4,4,4,4,4
14,5,111,1,8,4,4,4,4,4,4,4
14,5,111,2,0,4,4,4,4,4,4,4
14,5,111,2,1,4,4,4,4,4,4,4
14,5,111,2,2,4,4,4,4,4,4,4
14,5,111,2,3,4,4,4,4,4,4,4
14,5,111,2,4,4,4,4,4,4,4,4
14,5,111,2,5,4,4,4,4,4,4,4
14,5,111,2,6,4,4,4,4,4,4,4
14,5,111,2,7,4,4,4,4,4,4,4
14,5,111,2,8,4,4,4,4,4,4,4
14,5,111,3,0,4,4,4,4,4,4,4
14,5,111,3,1,4,4,4,4,4,4,4
14,5,111,3,2,4,4,4,4,4,4,4
14,5,111,3,3,4,4,4,4,4,4,4
14,5,111,3,4,4,4,4,4,4,4,4
14,5,111,3,5,4,4,4,4,4,4,4
14,5,111,3,6,4,4,4,4,4,4,4
14,5,111,3,7,4,4,4,4,4,4,4
