tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
17,92,24,0,0,4,4,4,4,4,4,4
17,92,24,0,1,4,4,4,4,4,4,4
17,92,24,0,2,4,4,4,4,4,4,4
17,92,24,0,3,4,4,4,4,4,4,4
17,92,24,0,4,4,4,4,4,4,4,4
17,92,24,0,5,4,4,4,4,4,4,4
17,92,24,0,6,4,4,4,4,4,4,4
17,92,24,0,7,4,4,4,4,4,4,4
17,92,24,0,8,4,4,4,4,4,4,4
17,92,24,1,0,4,4,4,4,4,4,4
17,92,24,1,1,4,4,4,4,4,4,4
17,92,24,1,2,4,4,4,4,4,4,4
17,92,24,1,3,4,4,4,4,4,4,4
17,92,24,1,4,4,4,4,4,4,4,4
17,92,24,1,5,4,4,4,4,4,4,4
17,92,24,1,6,4,4,4,4,4,4,4
17,92,24,1,7,4,4,4,4,4,4,4
17,92,24,1,8,4,4,4,4,4,4,4
17,92,24,2,0,4,4,4,4,4,4,4
17,92,24,2,1,4,4,4,4,4,4,4
17,92,24,2,2,4,4,4,4,4,4,4
17,92,24,2,3,4,4,4,4,4,4,4
17,92,24,2,4,4,4,4,4,4,4,4
17,92,24,2,5,4,4,4,4,4,4,4
17,92,24,2,6,4,4,4,4,4,4,4
17,92,24,2,7,4,4,4,4,4,4,4
17,92,24,2,8,4,4,4,4,4,4,4
17,92,24,3,0,4,4,4,4,4,4,4
17,92,24,3,1,4,4,4,4,4,4,4
17,92,24,3,2,4,4,4,4,4,4,4
17,92,24,3,3,4,4,4,4,4,4,4
17,92,24,3,4,4,4,4,4,4,4,4
17,92,24,3,5,4,4,4,4,4,4,4
17,92,24,3,6,4,4,4,4,4,4,4
17,92,24,3,7,4,4,4,4,4,4,4
17,92,24,3,8,4,4,4,4,4,4,4
17,92,24,4,0,4,4,4,4,4,4,4
17,92,24,4,1,4,4,4,4,4,4,4
17,92,24,4,2,4,4,4,4,4,4,4
17,92,24,4,3,4,4,4,4,4,4,4
17,92,24,4,4,4,4,4,4,4,4,4
17,92,24,4,5,4,4,4,4,4,4,4
17,92,24,4,6,4,4,4,4,4,4,4
17,92,24,4,7,4,4,4,4,4,4,4
17,92,24,4,8,4,4,4,4,4,4,4
17,92,24,5,0,4,4,4,4,4,4,4
17,92,24,5,1,4,4,4,4,4,4,4
17,92,24,5,2,4,4,4,4,4,4,4
17,92,24,5,3,4,4,4,4,4,4,4
17,92,24,5,4,4,4,4,4,4,4,4
17,92,24,5,5,4,4,4,4,4,4,4
17,92,24,5,6,4,4,4,4,4,4,4
17,92,24,5,7,4,4,4,4,4,4,4
17,92,24,5,8,4,4,4,4,4,4,4
17,92,25,0,0,4,4,4,4,4,4,4
17,92,25,0,1,4,4,4,4,4,4,4
17,92,25,0,2,4,4,4,4,4,4,4
17,92,25,0,3,4,4,4,4,4,4,4
17,92,25,0,4,4,4,4,4,4,4,4
17,92,25,0,5,4,4,4,4,4,4,4
17,92,25,0,6,4,4,4,4,4,4,4
17,92,25,0,7,4,4,4,4,4,4,4
17,92,25,0,8,4,4,4,4,4,4,4
17,92,25,1,0,4,4,4,4,4,4,4
17,92,25,1,1,4,4,4,4,4,4,4
17,92,25,1,2,4,4,4,4,4,4,4
17,92,25,1,3,4,4,4,4,4,4,4
17,92,25,1,4,4,4,4,4,4,4,4
17,92,25,1,5,4,4,4,4,4,4,4
17,92,25,1,6,4,4,4,4,4,4,4
17,92,25,1,7,4,4,4,4,4,4,4
17,92,25,1,8,4,4,4,4,4,4,4
17,92,25,2,0,4,4,4,4,4,4,4
17,92,25,2,1,4,4,4,4,4,4,4
17,92,25,2,2,4,4,4,4,4,4,4
17,92,25,2,3,4,4,4,4,4,4,4
17,92,25,2,4,4,4,4,4,4,4,4
17,92,25,2,5,4,4,4,4,4,4,4
17,92,25,2,6,4,4,4,4,4,4,4
17,92,25,2,7,4,4,4,4,4,4,4
17,92,25,2,8,4,4,4,4,4,4,4
17,92,25,3,0,4,4,4,4,4,4,4
17,92,25,3,1,4,4,4,4,4,4,4
17,92,25,3,2,4,4,4,4,4,4,4
17,92,25,3,3,4,4,4,4,4,4,4
17,92,25,3,4,4,4,4,4,4,4,4
