tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
8,14,125,4,6,2,2,2,2,2,2,2
8,14,125,4,7,2,2,2,2,2,2,2
8,14,125,4,8,2,2,2,2,2,2,2
8,14,125,5,0,2,2,2,2,2,2,2
8,14,125,5,1,2,2,2,2,2,2,2
8,14,125,5,2,2,2,2,2,2,2,2
8,14,125,5,3,2,2,2,2,2,2,2
8,14,125,5,4,2,2,2,2,2,2,2
8,14,125,5,5,2,2,2,2,2,2,2
8,14,125,5,6,2,2,2,2,2,2,2
8,14,125,5,7,2,2,2,2,2,2,2
8,14,125,5,8,2,2,2,2,2,2,2
8,15,124,4,0,2,2,2,2,2,2,2
8,15,124,4,1,2,2,2,2,2,2,2
8,15,124,4,2,2,2,2,2,2,2,2
8,15,124,4,3,2,2,2,2,2,2,2
8,15,124,4,4,2,2,2,2,2,2,2
8,15,124,4,5,2,2,2,2,2,2,2
8,15,124,4,6,2,2,2,2,2,2,2
8,15,124,4,7,2,2,2,2,2,2,2
8,15,124,4,8,2,2,2,2,2,2,2
8,15,124,5,0,2,2,2,2,2,2,2
8,15,124,5,1,2,2,2,2,2,2,2
8,15,124,5,2,2,2,2,2,2,2,2
8,15,124,5,3,2,2,2,2,2,2,2
8,15,124,5,4,2,2,2,2,2,2,2
8,15,124,5,5,2,2,2,2,2,2,2
8,15,124,5,6,2,2,2,2,2,2,2
8,15,124,5,7,2,2,2,2,2,2,2
8,15,124,5,8,2,2,2,2,2,2,2
8,15,125,4,0,2,2,2,2,2,2,2
8,15,125,4,1,2,2,2,2,2,2,2
8,15,125,4,2,2,2,2,2,2,2,2
8,15,125,4,3,2,2,2,2,2,2,2
8,15,125,4,4,2,2,2,2,2,2,2
8,15,125,4,5,2,2,2,2,2,2,2
8,15,125,4,6,2,2,2,2,2,2,2
8,15,125,4,7,2,2,2,2,2,2,2
8,15,125,4,8,2,2,2,2,2,2,2
8,15,125,5,0,2,2,2,2,2,2,2
8,15,125,5,1,2,2,2,2,2,2,2
8,15,125,5,2,2,2,2,2,2,2,2
8,15,125,5,3,2,2,2,2,2,2,2
8,15,125,5,4,2,2,2,2,2,2,2
8,15,125,5,5,2,2,2,2,2,2,2
8,15,125,5,6,2,2,2,2,2,2,2
8,15,125,5,7,2,2,2,2,2,2,2
8,15,125,5,8,2,2,2,2,2,2,2
8,16,124,4,0,2,2,2,2,2,2,2
8,16,124,4,1,2,2,2,2,2,2,2
8,16,124,4,2,2,2,2,2,2,2,2
