tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
12,60,73,0,0,2,4,4,4,2,2,2
12,60,73,0,1,2,4,4,4,2,2,2
12,60,73,0,2,2,4,4,4,2,4,[4]
12,60,73,0,3,2,4,4,4,2,4,[4]
12,60,73,0,4,2,4,4,4,2,4,[4]
12,60,73,0,5,2,4,4,4,2,4,[4]
12,60,73,0,6,2,4,4,4,2,4,[4]
12,60,73,0,7,2,4,4,4,2,4,[4]
12,60,73,0,8,2,4,4,4,2,4,[4]
12,60,73,1,0,2,4,4,4,2,2,2
12,60,73,1,1,2,4,4,4,2,2,2
12,60,73,1,2,2,4,4,4,2,4,[4]
12,60,73,1,3,2,4,4,4,2,4,[4]
12,60,73,1,4,2,4,4,4,2,4,[4]
12,60,73,1,5,2,4,4,4,2,4,[4]
12,60,73,1,6,2,4,4,4,2,4,[4]
12,60,73,1,7,2,4,4,4,2,4,[4]
12,60,73,1,8,2,4,4,4,2,4,[4]
12,60,73,2,0,2,4,4,4,2,2,2
12,60,73,2,1,2,4,4,4,2,2,2
12,60,73,2,2,2,4,4,4,2,4,[4]
12,60,73,2,3,2,4,4,4,2,4,[4]
12,60,73,2,4,2,4,4,4,2,4,[4]
12,60,73,2,5,2,4,4,4,2,4,[4]
12,60,73,2,6,2,4,4,4,2,4,[4]
12,60,73,2,7,2,4,4,4,2,4,[4]
12,60,73,2,8,2,4,4,4,2,4,[4]
12,60,73,3,0,2,4,4,4,2,2,2
12,60,73,3,1,2,4,4,4,2,2,2
12,60,73,3,2,2,4,4,4,2,4,[4]
12,60,73,3,3,2,4,4,4,2,4,[4]
12,60,73,3,4,2,4,4,4,2,4,[4]
12,60,73,3,5,2,4,4,4,2,4,[4]
12,60,73,3,6,2,4,4,4,2,4,[4]
12,60,73,3,7,2,4,4,4,2,4,[4]
12,60,73,3,8,2,4,4,4,2,4,[4]
12,60,73,4,0,2,4,4,4,2,2,2
12,60,73,4,1,2,4,4,4,2,2,2
12,60,73,4,2,2,4,4,4,2,4,[4]
12,60,73,4,3,2,4,4,4,2,4,[4]
12,60,73,4,4,2,4,4,4,2,4,[4]
12,60,73,4,5,2,4,4,4,2,4,[4]
12,60,73,4,6,2,4,4,4,2,4,[4]
12,60,73,4,7,2,4,4,4,2,4,[4]
12,60,73,4,8,2,4,4,4,2,4,[4]
12,60,73,5,0,2,4,4,4,2,2,2
12,60,73,5,1,2,4,4,4,2,2,2
12,60,73,5,2,2,4,4,4,2,4,[4]
12,60,73,5,3,2,4,4,4,2,4,[4]
12,60,73,5,4,2,4,4,4,2,4,[4]
12,60,73,5,5,2,4,4,4,2,4,[4]
12,60,73,5,6,2,4,4,4,2,4,[4]
12,60,73,5,7,2,4,4,4,2,4,[4]
12,60,73,5,8,2,4,4,4,2,4,[4]
12,60,74,0,0,2,4,4,4,2,2,2
12,60,74,0,1,2,4,4,4,2,2,2
12,60,74,0,2,2,4,4,4,2,4,[4]
12,60,74,0,3,2,4,4,4,2,4,[4]
12,60,74,0,4,2,4,4,4,2,4,[4]
12,60,74,0,5,2,4,4,4,2,4,[4]
12,60,74,0,6,2,4,4,4,2,4,[4]
12,60,74,0,7,2,4,4,4,2,4,[4]
12,60,74,0,8,2,4,4,4,2,4,[4]
12,60,74,1,0,2,4,4,4,2,2,2
12,60,74,1,1,2,4,4,4,2,2,2
12,60,74,1,2,2,4,4,4,2,4,[4]
12,60,74,1,3,2,4,4,4,2,4,[4]
12,60,74,1,4,2,4,4,4,2,4,[4]
12,60,74,1,5,2,4,4,4,2,4,[4]
12,60,74,1,6,2,4,4,4,2,4,[4]
12,60,74,1,7,2,4,4,4,2,4,[4]
12,60,74,1,8,2,4,4,4,2,4,[4]
12,60,74,2,0,2,4,4,4,2,2,2
12,60,74,2,1,2,4,4,4,2,2,2
12,60,74,2,2,2,4,4,4,2,4,[4]
12,60,74,2,3,2,4,4,4,2,4,[4]
12,60,74,2,4,2,4,4,4,2,4,[4]
12,60,74,2,5,2,4,4,4,2,4,[4]
12,60,74,2,6,2,4,4,4,2,4,[4]
