tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
17,94,67,5,3,4,4,4,4,4,4,4
17,94,67,5,4,4,4,4,4,4,4,4
17,94,67,5,5,4,4,4,4,4,4,4
17,94,67,5,6,4,4,4,4,4,4,4
17,94,67,5,7,4,4,4,4,4,4,4
17,94,67,5,8,4,4,4,4,4,4,4
17,94,68,0,0,4,4,4,4,4,4,4
17,94,68,0,1,4,4,4,4,4,4,4
17,94,68,0,2,4,4,4,4,4,4,4
17,94,68,0,3,4,4,4,4,4,4,4
17,94,68,0,4,4,4,4,4,4,4,4
17,94,68,0,5,4,4,4,4,4,4,4
17,94,68,0,6,4,4,4,4,4,4,4
17,94,68,0,7,4,4,4,4,4,4,4
17,94,68,0,8,4,4,4,4,4,4,4
17,94,68,1,0,4,4,4,4,4,4,4
17,94,68,1,1,4,4,4,4,4,4,4
17,94,68,1,2,4,4,4,4,4,4,4
17,94,68,1,3,4,4,4,4,4,4,4
17,94,68,1,4,4,4,4,4,4,4,4
17,94,68,1,5,4,4,4,4,4,4,4
17,94,68,1,6,4,4,4,4,4,4,4
17,94,68,1,7,4,4,4,4,4,4,4
17,94,68,1,8,4,4,4,4,4,4,4
17,94,68,2,0,4,4,4,4,4,4,4
17,94,68,2,1,4,4,4,4,4,4,4
17,94,68,2,2,4,4,4,4,4,4,4
17,94,68,2,3,4,4,4,4,4,4,4
17,94,68,2,4,4,4,4,4,4,4,4
17,94,68,2,5,4,4,4,4,4,4,4
17,94,68,2,6,4,4,4,4,4,4,4
17,94,68,2,7,4,4,4,4,4,4,4
17,94,68,2,8,4,4,4,4,4,4,4
17,94,68,3,0,4,4,4,4,4,4,4
17,94,68,3,1,4,4,4,4,4,4,4
17,94,68,3,2,4,4,4,4,4,4,4
17,94,68,3,3,4,4,4,4,4,4,4
17,94,68,3,4,4,4,4,4,4,4,4
17,94,68,3,5,4,4,4,4,4,4,4
17,94,68,3,6,4,4,4,4,4,4,4
17,94,68,3,7,4,4,4,4,4,4,4
17,94,68,3,8,4,4,4,4,4,4,4
17,94,68,4,0,4,4,4,4,4,4,4
17,94,68,4,1,4,4,4,4,4,4,4
17,94,68,4,2,4,4,4,4,4,4,4
17,94,68,4,3,4,4,4,4,4,4,4
17,94,68,4,4,4,4,4,4,4,4,4
17,94,68,4,5,4,4,4,4,4,4,4
17,94,68,4,6,4,4,4,4,4,4,4
17,94,68,4,7,4,4,4,4,4,4,4
17,94,68,4,8,4,4,4,4,4,4,4
