tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
9,14,69,4,6,3,3,3,3,3,2,3
9,14,69,4,7,3,3,3,3,3,2,3
9,14,69,4,8,3,3,3,3,3,2,3
9,14,69,5,0,3,3,3,3,3,2,3
9,14,69,5,1,3,3,3,3,3,2,3
9,14,69,5,2,3,3,3,3,3,2,3
9,14,69,5,3,3,3,3,3,3,2,3
9,14,69,5,4,3,3,3,3,3,2,3
9,14,69,5,5,3,3,3,3,3,2,3
9,14,69,5,6,3,3,3,3,3,2,3
9,14,69,5,7,3,3,3,3,3,2,3
9,14,69,5,8,3,3,3,3,3,2,3
9,14,70,0,0,3,4,4,4,4,4,4
9,14,70,0,1,3,4,4,4,4,4,4
9,14,70,0,2,3,4,4,4,4,4,4
9,14,70,0,3,3,4,4,4,4,4,4
9,14,70,0,4,3,4,4,4,4,4,4
9,14,70,0,5,3,4,4,4,4,4,4
9,14,70,0,6,3,4,4,4,4,4,4
9,14,70,0,7,3,4,4,4,4,4,4
9,14,70,0,8,3,4,4,4,4,4,4
9,14,70,1,0,3,4,4,4,4,4,4
9,14,70,1,1,3,4,4,4,4,4,4
9,14,70,1,2,3,4,4,4,4,4,4
9,14,70,1,3,3,4,4,4,4,4,4
9,14,70,1,4,3,4,4,4,4,4,4
9,14,70,1,5,3,4,4,4,4,4,4
9,14,70,1,6,3,4,4,4,4,4,4
9,14,70,1,7,3,4,4,4,4,4,4
9,14,70,1,8,3,4,4,4,4,4,4
9,14,70,2,0,3,4,4,4,4,4,4
9,14,70,2,1,3,4,4,4,4,4,4
9,14,70,2,2,3,4,4,4,4,4,4
9,14,70,2,3,3,4,4,4,4,4,4
9,14,70,2,4,3,4,4,4,4,4,4
9,14,70,2,5,3,4,4,4,4,4,4
9,14,70,2,6,3,4,4,4,4,4,4
9,14,70,2,7,3,4,4,4,4,4,4
9,14,70,2,8,3,4,4,4,4,4,4
9,14,70,3,0,3,3,3,3,3,3,3
9,14,70,3,1,3,3,3,3,3,3,3
9,14,70,3,2,3,3,3,3,3,3,3
9,14,70,3,3,3,3,3,3,3,3,3
9,14,70,3,4,3,3,3,3,3,3,3
9,14,70,3,5,3,3,3,3,3,3,3
9,14,70,3,6,3,3,3,3,3,3,3
9,14,70,3,7,3,3,3,3,3,3,3
9,14,70,3,8,3,3,3,3,3,3,3
9,14,70,4,0,3,3,3,3,3,3,3
9,14,70,4,1,3,3,3,3,3,3,3
9,14,70,4,2,3,3,3,3,3,3,3
9,14,70,4,3,3,3,3,3,3,3,3
9,14,70,4,4,3,3,3,3,3,3,3
9,14,70,4,5,3,3,3,3,3,3,3
9,14,70,4,6,3,3,3,3,3,3,3
9,14,70,4,7,3,3,3,3,3,3,3
9,14,70,4,8,3,3,3,3,3,3,3
9,14,70,5,0,3,3,3,3,3,3,3
9,14,70,5,1,3,3,3,3,3,3,3
9,14,70,5,2,3,3,3,3,3,3,3
9,14,70,5,3,3,3,3,3,3,3,3
9,14,70,5,4,3,3,3,3,3,3,3
9,14,70,5,5,3,3,3,3,3,3,3
9,14,70,5,6,3,3,3,3,3,3,3
9,14,70,5,7,3,3,3,3,3,3,3
9,14,70,5,8,3,3,3,3,3,3,3
9,14,71,0,0,3,4,4,4,4,4,4
9,14,71,0,1,3,4,4,4,4,4,4
9,14,71,0,2,3,4,4,4,4,4,4
9,14,71,0,3,3,4,4,4,4,4,4
9,14,71,0,4,3,4,4,4,4,4,4
9,14,71,0,5,3,4,4,4,4,4,4
9,14,71,0,6,3,4,4,4,4,4,4
9,14,71,0,7,3,4,4,4,4,4,4
9,14,71,0,8,3,4,4,4,4,4,4
9,14,71,1,0,3,4,4,4,4,4,4
9,14,71,1,1,3,4,4,4,4,4,4
9,14,71,1,2,3,4,4,4,4,4,4
9,14,71,1,3,3,4,4,4,4,4,4
9,14,71,1,4,3,4,4,4,4,4,4
9,14,71,1,5,3,4,4,4,4,4,4
9,14,71,1,6,3,4,4,4,4,4,4
9,14,71,1,7,3,4,4,4,4,4,4
9,14,71,1,8,3,4,4,4,4,4,4
9,14,71,2,0,3,4,4,4,4,4,4
9,14,71,2,1,3,4,4,4,4,4,4
9,14,71,2,2,3,4,4,4,4,4,4
9,14,71,2,3,3,4,4,4,4,4,4
9,14,71,2,4,3,4,4,4,4,4,4
9,14,71,2,5,3,4,4,4,4,4,4
9,14,71,2,6,3,4,4,4,4,4,4
9,14,71,2,7,3,4,4,4,4,4,4
9,14,71,2,8,3,4,4,4,4,4,4
9,14,71,3,0,3,4,3,3,3,4,3
9,14,71,3,1,3,4,3,3,3,4,3
9,14,71,3,2,3,4,3,3,3,4,3
9,14,71,3,3,3,4,3,3,3,4,3
9,14,71,3,4,3,4,3,3,3,4,3
9,14,71,3,5,3,4,3,3,3,4,3
9,14,71,3,6,3,4,3,3,3,4,3
9,14,71,3,7,3,4,3,3,3,4,3
9,14,71,3,8,3,4,3,3,3,4,3
9,14,71,4,0,3,2,3,3,3,2,3
9,14,71,4,1,3,2,3,3,3,2,3
9,14,71,4,2,3,2,3,3,3,2,3
9,14,71,4,3,3,2,3,3,3,2,3
9,14,71,4,4,3,2,3,3,3,2,3
9,14,71,4,5,3,2,3,3,3,2,3
9,14,71,4,6,3,2,3,3,3,2,3
