tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
1,74,9,1,1,4,3,4,4,3,3,3
1,74,9,1,2,4,3,4,4,3,3,3
1,74,9,1,3,4,3,4,4,3,3,3
1,74,9,1,4,4,3,4,4,3,3,3
1,74,9,1,5,4,3,4,4,3,3,3
1,74,9,1,6,4,3,4,4,3,3,3
1,74,9,1,7,4,3,4,4,3,3,3
1,74,9,1,8,4,3,4,4,3,3,3
1,74,9,2,0,4,3,4,4,3,3,3
1,74,9,2,1,4,3,4,4,3,3,3
1,74,9,2,2,4,3,4,4,3,3,3
1,74,9,2,3,4,3,4,4,3,3,3
1,74,9,2,4,4,3,4,4,3,3,3
1,74,9,2,5,4,3,4,4,3,3,3
1,74,9,2,6,4,3,4,4,3,3,3
1,74,9,2,7,4,3,4,4,3,3,3
1,74,9,2,8,4,3,4,4,3,3,3
1,74,9,3,0,4,3,4,4,3,3,3
1,74,9,3,1,4,3,4,4,3,3,3
1,74,9,3,2,4,3,4,4,3,3,3
1,74,9,3,3,4,3,4,4,3,3,3
1,74,9,3,4,4,3,4,4,3,3,3
1,74,9,3,5,4,3,4,4,3,3,3
1,74,9,3,6,4,3,4,4,3,3,3
1,74,9,3,7,4,3,4,4,3,3,3
1,74,9,3,8,4,3,4,4,3,3,3
1,74,9,4,0,4,3,4,4,3,3,3
1,74,9,4,1,4,3,4,4,3,3,3
1,74,9,4,2,4,3,4,4,3,3,3
1,74,9,4,3,4,3,4,4,3,3,3
1,74,9,4,4,4,3,4,4,3,3,3
1,74,9,4,5,4,3,4,4,3,3,3
1,74,9,4,6,4,3,4,4,3,3,3
1,74,9,4,7,4,3,4,4,3,3,3
1,74,9,4,8,4,3,4,4,3,3,3
1,74,9,5,0,4,3,4,4,3,3,3
1,74,9,5,1,4,3,4,4,3,3,3
1,74,9,5,2,4,3,4,4,3,3,3
1,74,9,5,3,4,3,4,4,3,3,3
1,74,9,5,4,4,3,4,4,3,3,3
1,74,9,5,5,4,3,4,4,3,3,3
1,74,9,5,6,4,3,4,4,3,3,3
1,74,9,5,7,4,3,4,4,3,3,3
1,74,9,5,8,4,3,4,4,3,3,3
1,74,10,0,0,4,3,4,4,3,3,3
1,74,10,0,1,4,3,4,4,3,3,3
1,74,10,0,2,4,3,4,4,3,3,3
1,74,10,0,3,4,3,4,4,3,3,3
1,74,10,0,4,4,3,4,4,3,3,3
1,74,10,0,5,4,3,4,4,3,3,3
1,74,10,0,6,4,3,4,4,3,3,3
1,74,10,0,7,4,3,4,4,3,3,3
1,74,10,0,8,4,3,4,4,3,3,3
1,74,10,1,0,4,3,4,4,3,3,3
1,74,10,1,1,4,3,4,4,3,3,3
1,74,10,1,2,4,3,4,4,3,3,3
1,74,10,1,3,4,3,4,4,3,3,3
1,74,10,1,4,4,3,4,4,3,3,3
1,74,10,1,5,4,3,4,4,3,3,3
1,74,10,1,6,4,3,4,4,3,3,3
1,74,10,1,7,4,3,4,4,3,3,3
1,74,10,1,8,4,3,4,4,3,3,3
1,74,10,2,0,4,3,4,4,3,3,3
1,74,10,2,1,4,3,4,4,3,3,3
1,74,10,2,2,4,3,4,4,3,3,3
1,74,10,2,3,4,3,4,4,3,3,3
1,74,10,2,4,4,3,4,4,3,3,3
1,74,10,2,5,4,3,4,4,3,3,3
1,74,10,2,6,4,3,4,4,3,3,3
1,74,10,2,7,4,3,4,4,3,3,3
1,74,10,2,8,4,3,4,4,3,3,3
1,74,10,3,0,4,3,4,4,3,3,3
1,74,10,3,1,4,3,4,4,3,3,3
1,74,10,3,2,4,3,4,4,3,3,3
1,74,10,3,3,4,3,4,4,3,3,3
1,74,10,3,4,4,3,4,4,3,3,3
1,74,10,3,5,4,3,4,4,3,3,3
1,74,10,3,6,4,3,4,4,3,3,3
1,74,10,3,7,4,3,4,4,3,3,3
1,74,10,3,8,4,3,4,4,3,3,3
1,74,10,4,0,4,3,4,4,3,3,3
1,74,10,4,1,4,3,4,4,3,3,3
1,74,10,4,2,4,3,4,4,3,3,3
1,74,10,4,3,4,3,4,4,3,3,3
1,74,10,4,4,4,3,4,4,3,3,3
1,74,10,4,5,4,3,4,4,3,3,3
1,74,10,4,6,4,3,4,4,3,3,3
1,74,10,4,7,4,3,4,4,3,3,3
1,74,10,4,8,4,3,4,4,3,3,3
1,74,10,5,0,4,3,4,4,3,3,3
1,74,10,5,1,4,3,4,4,3,3,3
1,74,10,5,2,4,3,4,4,3,3,3
1,74,10,5,3,4,3,4,4,3,3,3
1,74,10,5,4,4,3,4,4,3,3,3
1,74,10,5,5,4,3,4,4,3,3,3
1,74,10,5,6,4,3,4,4,3,3,3
1,74,10,5,7,4,3,4,4,3,3,3
1,74,10,5,8,4,3,4,4,3,3,3
1,74,11,0,0,4,3,4,4,3,3,3
1,74,11,0,1,4,3,4,4,3,3,3
1,74,11,0,2,4,3,4,4,3,3,3
1,74,11,0,3,4,3,4,4,3,3,3
1,74,11,0,4,4,3,4,4,3,3,3
1,74,11,0,5,4,3,4,4,3,3,3
1,74,11,0,6,4,3,4,4,3,3,3
1,74,11,0,7,4,3,4,4,3,3,3
1,74,11,0,8,4,3,4,4,3,3,3
1,74,11,1,0,4,3,4,4,3,3,3
1,74,11,1,1,4,3,4,4,3,3,3
1,74,11,1,2,4,3,4,4,3,3,3
1,74,11,1,3,4,3,4,4,3,3,3
1,74,11,1,4,4,3,4,4,3,3,3
1,74,11,1,5,4,3,4,4,3,3,3
1,74,11,1,6,4,3,4,4,3,3,3
1,74,11,1,7,4,3,4,4,3,3,3
1,74,11,1,8,4,3,4,4,3,3,3
1,74,11,2,0,4,3,4,4,3,3,3
1,74,11,2,1,4,3,4,4,3,3,3
1,74,11,2,2,4,3,4,4,3,3,3
1,74,11,2,3,4,3,4,4,3,3,3
1,74,11,2,4,4,3,4,4,3,3,3
1,74,11,2,5,4,3,4,4,3,3,3
1,74,11,2,6,4,3,4,4,3,3,3
1,74,11,2,7,4,3,4,4,3,3,3
1,74,11,2,8,4,3,4,4,3,3,3
1,74,11,3,0,4,3,4,4,3,3,3
1,74,11,3,1,4,3,4,4,3,3,3
1,74,11,3,2,4,3,4,4,3,3,3
1,74,11,3,3,4,3,4,4,3,3,3
1,74,11,3,4,4,3,4,4,3,3,3
1,74,11,3,5,4,3,4,4,3,3,3
1,74,11,3,6,4,3,4,4,3,3,3
1,74,11,3,7,4,3,4,4,3,3,3
1,74,11,3,8,4,3,4,4,3,3,3
1,74,11,4,0,4,3,4,4,3,3,3
1,74,11,4,1,4,3,4,4,3,3,3
1,74,11,4,2,4,3,4,4,3,3,3
1,74,11,4,3,4,3,4,4,3,3,3
1,74,11,4,4,4,3,4,4,3,3,3
1,74,11,4,5,4,3,4,4,3,3,3
1,74,11,4,6,4,3,4,4,3,3,3
1,74,11,4,7,4,3,4,4,3,3,3
1,74,11,4,8,4,3,4,4,3,3,3
1,74,11,5,0,4,3,4,4,3,3,3
1,74,11,5,1,4,3,4,4,3,3,3
1,74,11,5,2,4,3,4,4,3,3,3
1,74,11,5,3,4,3,4,4,3,3,3
1,74,11,5,4,4,3,4,4,3,3,3
