tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
3,144,27,3,3,4,4,4,4,4,4,4
3,144,27,3,4,4,4,4,4,4,4,4
3,144,27,4,0,4,4,4,4,4,4,4
3,144,27,4,1,4,4,4,4,4,4,4
3,144,27,4,2,4,4,4,4,4,4,4
3,144,27,4,3,4,4,4,4,4,4,4
3,144,27,4,4,4,4,4,4,4,4,4
3,144,27,5,0,4,4,4,4,4,4,4
3,144,27,5,1,4,4,4,4,4,4,4
3,144,27,5,2,4,4,4,4,4,4,4
3,144,27,5,3,4,4,4,4,4,4,4
3,144,27,5,4,4,4,4,4,4,4,4
3,144,28,0,0,4,4,4,4,4,4,4
3,144,28,0,1,4,4,4,4,4,4,4
3,144,28,0,2,4,4,4,4,4,4,4
3,144,28,0,3,4,4,4,4,4,4,4
3,144,28,0,4,4,4,4,4,4,4,4
3,144,28,1,0,4,4,4,4,4,4,4
3,144,28,1,1,4,4,4,4,4,4,4
3,144,28,1,2,4,4,4,4,4,4,4
3,144,28,1,3,4,4,4,4,4,4,4
3,144,28,1,4,4,4,4,4,4,4,4
3,144,28,2,0,4,4,4,4,4,4,4
3,144,28,2,1,4,4,4,4,4,4,4
3,144,28,2,2,4,4,4,4,4,4,4
3,144,28,2,3,4,4,4,4,4,4,4
3,144,28,2,4,4,4,4,4,4,4,4
3,144,28,3,0,4,4,4,4,4,4,4
3,144,28,3,1,4,4,4,4,4,4,4
3,144,28,3,2,4,4,4,4,4,4,4
3,144,28,3,3,4,4,4,4,4,4,4
3,144,28,3,4,4,4,4,4,4,4,4
3,144,28,4,0,4,4,4,4,4,4,4
3,144,28,4,1,4,4,4,4,4,4,4
3,144,28,4,2,4,4,4,4,4,4,4
3,144,28,4,3,4,4,4,4,4,4,4
3,144,28,4,4,4,4,4,4,4,4,4
3,144,28,5,0,4,4,4,4,4,4,4
3,144,28,5,1,4,4,4,4,4,4,4
3,144,28,5,2,4,4,4,4,4,4,4
3,144,28,5,3,4,4,4,4,4,4,4
3,144,28,5,4,4,4,4,4,4,4,4
3,144,29,0,0,4,4,4,4,4,4,4
3,144,29,0,1,4,4,4,4,4,4,4
3,144,29,0,2,4,4,4,4,4,4,4
3,144,29,0,3,4,4,4,4,4,4,4
3,144,29,0,4,4,4,4,4,4,4,4
3,144,29,1,0,4,4,4,4,4,4,4
3,144,29,1,1,4,4,4,4,4,4,4
3,144,29,1,2,4,4,4,4,4,4,4
3,144,29,1,3,4,4,4,4,4,4,4
3,144,29,1,4,4,4,4,4,4,4,4
3,144,29,2,0,4,4,4,4,4,4,4
3,144,29,2,1,4,4,4,4,4,4,4
3,144,29,2,2,4,4,4,4,4,4,4
3,144,29,2,3,4,4,4,4,4,4,4
3,144,29,2,4,4,4,4,4,4,4,4
3,144,29,3,0,4,4,4,4,4,4,4
3,144,29,3,1,4,4,4,4,4,4,4
3,144,29,3,2,4,4,4,4,4,4,4
3,144,29,3,3,4,4,4,4,4,4,4
3,144,29,3,4,4,4,4,4,4,4,4
3,144,29,4,0,4,4,4,4,4,4,4
3,144,29,4,1,4,4,4,4,4,4,4
3,144,29,4,2,4,4,4,4,4,4,4
3,144,29,4,3,4,4,4,4,4,4,4
3,144,29,4,4,4,4,4,4,4,4,4
3,144,29,5,0,4,4,4,4,4,4,4
3,144,29,5,1,4,4,4,4,4,4,4
3,144,29,5,2,4,4,4,4,4,4,4
3,144,29,5,3,4,4,4,4,4,4,4
3,144,29,5,4,4,4,4,4,4,4,4
3,144,30,0,0,4,4,4,4,4,4,4
3,144,30,0,1,4,4,4,4,4,4,4
3,144,30,0,2,4,4,4,4,4,4,4
3,144,30,0,3,4,4,4,4,4,4,4
3,144,30,0,4,4,4,4,4,4,4,4
3,144,30,1,0,4,4,4,4,4,4,4
3,144,30,1,1,4,4,4,4,4,4,4
3,144,30,1,2,4,4,4,4,4,4,4
3,144,30,1,3,4,4,4,4,4,4,4
3,144,30,1,4,4,4,4,4,4,4,4
3,144,30,2,0,4,4,4,4,4,4,4
3,144,30,2,1,4,4,4,4,4,4,4
3,144,30,2,2,4,4,4,4,4,4,4
3,144,30,2,3,4,4,4,4,4,4,4
3,144,30,2,4,4,4,4,4,4,4,4
3,144,30,3,0,4,4,4,4,4,4,4
3,144,30,3,1,4,4,4,4,4,4,4
3,144,30,3,2,4,4,4,4,4,4,4
3,144,30,3,3,4,4,4,4,4,4,4
3,144,30,3,4,4,4,4,4,4,4,4
3,144,30,4,0,4,4,4,4,4,4,4
3,144,30,4,1,4,4,4,4,4,4,4
3,144,30,4,2,4,4,4,4,4,4,4
3,144,30,4,3,4,4,4,4,4,4,4
3,144,30,4,4,4,4,4,4,4,4,4
3,144,30,5,0,4,4,4,4,4,4,4
3,144,30,5,1,4,4,4,4,4,4,4
3,144,30,5,2,4,4,4,4,4,4,4
