tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
13,16,89,0,0,4,4,4,4,4,4,4
13,16,89,0,1,4,4,4,4,4,4,4
13,16,89,0,2,4,4,4,4,4,4,4
13,16,89,0,3,4,4,4,4,4,4,4
13,16,89,0,4,4,4,4,4,4,4,4
13,16,89,0,5,4,4,4,4,4,4,4
13,16,89,0,6,4,4,4,4,4,4,4
13,16,89,0,7,4,4,4,4,4,4,4
13,16,89,0,8,4,4,4,4,4,4,4
13,16,89,1,0,4,4,4,4,4,4,4
13,16,89,1,1,4,4,4,4,4,4,4
13,16,89,1,2,4,4,4,4,4,4,4
13,16,89,1,3,4,4,4,4,4,4,4
13,16,89,1,4,4,4,4,4,4,4,4
13,16,89,1,5,4,4,4,4,4,4,4
13,16,89,1,6,4,4,4,4,4,4,4
13,16,89,1,7,4,4,4,4,4,4,4
13,16,89,1,8,4,4,4,4,4,4,4
13,16,89,2,0,4,4,4,4,4,4,4
13,16,89,2,1,4,4,4,4,4,4,4
13,16,89,2,2,4,4,4,4,4,4,4
13,16,89,2,3,4,4,4,4,4,4,4
13,16,89,2,4,4,4,4,4,4,4,4
13,16,89,2,5,4,4,4,4,4,4,4
13,16,89,2,6,4,4,4,4,4,4,4
13,16,89,2,7,4,4,4,4,4,4,4
13,16,89,2,8,4,4,4,4,4,4,4
13,16,89,3,0,4,4,4,4,4,4,4
13,16,89,3,1,4,4,4,4,4,4,4
13,16,89,3,2,4,4,4,4,4,4,4
13,16,89,3,3,4,4,4,4,4,4,4
13,16,89,3,4,4,4,4,4,4,4,4
13,16,89,3,5,4,4,4,4,4,4,4
13,16,89,3,6,4,4,4,4,4,4,4
13,16,89,3,7,4,4,4,4,4,4,4
13,16,89,3,8,4,4,4,4,4,4,4
13,16,90,0,0,4,3,4,4,4,4,4
13,16,90,0,1,4,3,4,4,4,4,4
13,16,90,0,2,4,3,4,4,4,4,4
13,16,90,0,3,4,3,4,4,4,4,4
13,16,90,0,4,4,3,4,4,4,4,4
13,16,90,0,5,4,3,4,4,4,4,4
13,16,90,0,6,4,3,4,4,4,4,4
13,16,90,0,7,4,3,4,4,4,4,4
13,16,90,0,8,4,3,4,4,4,4,4
13,16,90,1,0,4,3,4,4,4,4,4
13,16,90,1,1,4,3,4,4,4,4,4
13,16,90,1,2,4,3,4,4,4,4,4
13,16,90,1,3,4,3,4,4,4,4,4
13,16,90,1,4,4,3,4,4,4,4,4
13,16,90,1,5,4,3,4,4,4,4,4
13,16,90,1,6,4,3,4,4,4,4,4
13,16,90,1,7,4,3,4,4,4,4,4
13,16,90,1,8,4,3,4,4,4,4,4
13,16,90,2,0,4,3,4,4,4,4,4
13,16,90,2,1,4,3,4,4,4,4,4
13,16,90,2,2,4,3,4,4,4,4,4
13,16,90,2,3,4,3,4,4,4,4,4
13,16,90,2,4,4,3,4,4,4,4,4
13,16,90,2,5,4,3,4,4,4,4,4
13,16,90,2,6,4,3,4,4,4,4,4
13,16,90,2,7,4,3,4,4,4,4,4
13,16,90,2,8,4,3,4,4,4,4,4
13,16,90,3,0,4,3,4,4,4,4,4
13,16,90,3,1,4,3,4,4,4,4,4
13,16,90,3,2,4,3,4,4,4,4,4
13,16,90,3,3,4,3,4,4,4,4,4
13,16,90,3,4,4,3,4,4,4,4,4
13,16,90,3,5,4,3,4,4,4,4,4
13,16,90,3,6,4,3,4,4,4,4,4
13,16,90,3,7,4,3,4,4,4,4,4
13,16,90,3,8,4,3,4,4,4,4,4
13,16,91,0,0,4,3,3,4,3,3,3
13,16,91,0,1,4,3,3,4,3,3,3
13,16,91,0,2,4,3,3,4,3,3,3
13,16,91,0,3,4,3,3,4,3,3,3
13,16,91,0,4,4,3,3,4,3,3,3
13,16,91,0,5,4,3,3,4,3,3,3
13,16,91,0,6,4,3,3,4,3,3,3
13,16,91,0,7,4,3,3,4,3,3,3
13,16,91,0,8,4,3,3,4,3,3,3
