tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
3,122,91,2,2,4,3,4,3,3,4,3
3,122,91,2,3,4,3,4,3,3,4,3
3,122,91,2,4,4,3,4,3,3,4,3
3,122,91,2,5,4,3,4,3,3,4,3
3,122,91,2,6,4,3,4,3,3,4,3
3,122,91,2,7,4,3,4,3,3,4,3
3,122,91,2,8,4,3,4,3,3,4,3
3,122,91,3,0,4,3,4,3,3,4,3
3,122,91,3,1,4,3,4,3,3,4,3
3,122,91,3,2,4,3,4,3,3,4,3
3,122,91,3,3,4,3,4,3,3,4,3
3,122,91,3,4,4,3,4,3,3,4,3
3,122,91,3,5,4,3,4,3,3,4,3
3,122,91,3,6,4,3,4,3,3,4,3
3,122,91,3,7,4,3,4,3,3,4,3
3,122,91,3,8,4,3,4,3,3,4,3
3,122,91,4,0,4,3,4,3,3,4,3
3,122,91,4,1,4,3,4,3,3,4,3
3,122,91,4,2,4,3,4,3,3,4,3
3,122,91,4,3,4,3,4,3,3,4,3
3,122,91,4,4,4,3,4,3,3,4,3
3,122,91,4,5,4,3,4,3,3,4,3
3,122,91,4,6,4,3,4,3,3,4,3
3,122,91,4,7,4,3,4,3,3,4,3
3,122,91,4,8,4,3,4,3,3,4,3
3,122,91,5,0,4,3,4,3,3,4,3
3,122,91,5,1,4,3,4,3,3,4,3
3,122,91,5,2,4,3,4,3,3,4,3
3,122,91,5,3,4,3,4,3,3,4,3
3,122,91,5,4,4,3,4,3,3,4,3
3,122,91,5,5,4,3,4,3,3,4,3
3,122,91,5,6,4,3,4,3,3,4,3
3,122,91,5,7,4,3,4,3,3,4,3
3,122,91,5,8,4,3,4,3,3,4,3
3,122,92,0,0,4,3,4,3,3,4,3
3,122,92,0,1,4,3,4,3,3,4,3
3,122,92,0,2,4,3,4,3,3,4,3
3,122,92,0,3,4,3,4,3,3,4,3
3,122,92,0,4,4,3,4,3,3,4,3
3,122,92,0,5,4,3,4,3,3,4,3
3,122,92,0,6,4,3,4,3,3,4,3
3,122,92,0,7,4,3,4,3,3,4,3
3,122,92,0,8,4,3,4,3,3,4,3
3,122,92,1,0,4,3,4,3,3,4,3
3,122,92,1,1,4,3,4,3,3,4,3
3,122,92,1,2,4,3,4,3,3,4,3
3,122,92,1,3,4,3,4,3,3,4,3
3,122,92,1,4,4,3,4,3,3,4,3
3,122,92,1,5,4,3,4,3,3,4,3
3,122,92,1,6,4,3,4,3,3,4,3
3,122,92,1,7,4,3,4,3,3,4,3
3,122,92,1,8,4,3,4,3,3,4,3
3,122,92,2,0,4,3,4,3,3,4,3
3,122,92,2,1,4,3,4,3,3,4,3
3,122,92,2,2,4,3,4,3,3,4,3
3,122,92,2,3,4,3,4,3,3,4,3
3,122,92,2,4,4,3,4,3,3,4,3
3,122,92,2,5,4,3,4,3,3,4,3
3,122,92,2,6,4,3,4,3,3,4,3
3,122,92,2,7,4,3,4,3,3,4,3
3,122,92,2,8,4,3,4,3,3,4,3
3,122,92,3,0,4,3,4,3,3,4,3
3,122,92,3,1,4,3,4,3,3,4,3
3,122,92,3,2,4,3,4,3,3,4,3
3,122,92,3,3,4,3,4,3,3,4,3
3,122,92,3,4,4,3,4,3,3,4,3
3,122,92,3,5,4,3,4,3,3,4,3
3,122,92,3,6,4,3,4,3,3,4,3
3,122,92,3,7,4,3,4,3,3,4,3
3,122,92,3,8,4,3,4,3,3,4,3
3,122,92,4,0,4,3,4,3,3,4,3
3,122,92,4,1,4,3,4,3,3,4,3
3,122,92,4,2,4,3,4,3,3,4,3
3,122,92,4,3,4,3,4,3,3,4,3
3,122,92,4,4,4,3,4,3,3,4,3
3,122,92,4,5,4,3,4,3,3,4,3
3,122,92,4,6,4,3,4,3,3,4,3
3,122,92,4,7,4,3,4,3,3,4,3
3,122,92,4,8,4,3,4,3,3,4,3
3,122,92,5,0,4,3,4,3,3,4,3
3,122,92,5,1,4,3,4,3,3,4,3
3,122,92,5,2,4,3,4,3,3,4,3
3,122,92,5,3,4,3,4,3,3,4,3
3,122,92,5,4,4,3,4,3,3,4,3
3,122,92,5,5,4,3,4,3,3,4,3
3,122,92,5,6,4,3,4,3,3,4,3
3,122,92,5,7,4,3,4,3,3,4,3
3,122,92,5,8,4,3,4,3,3,4,3
3,122,93,0,0,4,3,4,3,3,4,3
3,122,93,0,1,4,3,4,3,3,4,3
3,122,93,0,2,4,3,4,3,3,4,3
3,122,93,0,3,4,3,4,3,3,4,3
3,122,93,0,4,4,3,4,3,3,4,3
3,122,93,0,5,4,3,4,3,3,4,3
3,122,93,0,6,4,3,4,3,3,4,3
3,122,93,0,7,4,3,4,3,3,4,3
3,122,93,0,8,4,3,4,3,3,4,3
3,122,93,1,0,4,3,4,3,3,4,3
3,122,93,1,1,4,3,4,3,3,4,3
3,122,93,1,2,4,3,4,3,3,4,3
3,122,93,1,3,4,3,4,3,3,4,3
3,122,93,1,4,4,3,4,3,3,4,3
3,122,93,1,5,4,3,4,3,3,4,3
3,122,93,1,6,4,3,4,3,3,4,3
3,122,93,1,7,4,3,4,3,3,4,3
3,122,93,1,8,4,3,4,3,3,4,3
3,122,93,2,0,4,3,4,3,3,4,3
3,122,93,2,1,4,3,4,3,3,4,3
3,122,93,2,2,4,3,4,3,3,4,3
3,122,93,2,3,4,3,4,3,3,4,3
3,122,93,2,4,4,3,4,3,3,4,3
3,122,93,2,5,4,3,4,3,3,4,3
3,122,93,2,6,4,3,4,3,3,4,3
3,122,93,2,7,4,3,4,3,3,4,3
3,122,93,2,8,4,3,4,3,3,4,3
3,122,93,3,0,4,3,4,3,3,4,3
3,122,93,3,1,4,3,4,3,3,4,3
3,122,93,3,2,4,3,4,3,3,4,3
3,122,93,3,3,4,3,4,3,3,4,3
3,122,93,3,4,4,3,4,3,3,4,3
3,122,93,3,5,4,3,4,3,3,4,3
3,122,93,3,6,4,3,4,3,3,4,3
3,122,93,3,7,4,3,4,3,3,4,3
3,122,93,3,8,4,3,4,3,3,4,3
3,122,93,4,0,4,3,4,3,3,4,3
3,122,93,4,1,4,3,4,3,3,4,3
3,122,93,4,2,4,3,4,3,3,4,3
3,122,93,4,3,4,3,4,3,3,4,3
3,122,93,4,4,4,3,4,3,3,4,3
3,122,93,4,5,4,3,4,3,3,4,3
3,122,93,4,6,4,3,4,3,3,4,3
3,122,93,4,7,4,3,4,3,3,4,3
3,122,93,4,8,4,3,4,3,3,4,3
3,122,93,5,0,4,3,4,3,3,4,3
3,122,93,5,1,4,3,4,3,3,4,3
3,122,93,5,2,4,3,4,3,3,4,3
3,122,93,5,3,4,3,4,3,3,4,3
3,122,93,5,4,4,3,4,3,3,4,3
3,122,93,5,5,4,3,4,3,3,4,3
3,122,93,5,6,4,3,4,3,3,4,3
