tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
5,10,45,1,7,4,4,4,4,4,4,4
5,10,45,1,8,4,4,4,4,4,4,4
5,10,45,2,0,4,4,4,4,4,4,4
5,10,45,2,1,4,4,4,4,4,4,4
5,10,45,2,2,4,4,4,4,4,4,4
5,10,45,2,3,4,4,4,4,4,4,4
5,10,45,2,4,4,4,4,4,4,4,4
5,10,45,2,5,4,4,4,4,4,4,4
5,10,45,2,6,4,4,4,4,4,4,4
5,10,45,2,7,4,4,4,4,4,4,4
5,10,45,2,8,4,4,4,4,4,4,4
5,10,45,3,0,4,4,4,4,4,4,4
5,10,45,3,1,4,4,4,4,4,4,4
5,10,45,3,2,4,4,4,4,4,4,4
5,10,45,3,3,4,4,4,4,4,4,4
5,10,45,3,4,4,4,4,4,4,4,4
5,10,45,3,5,4,4,4,4,4,4,4
5,10,45,3,6,4,4,4,4,4,4,4
5,10,45,3,7,4,4,4,4,4,4,4
5,10,45,3,8,4,4,4,4,4,4,4
5,10,46,0,0,4,4,4,4,4,4,4
5,10,46,0,1,4,4,4,4,4,4,4
5,10,46,0,2,4,4,4,4,4,4,4
5,10,46,0,3,4,4,4,4,4,4,4
5,10,46,0,4,4,4,4,4,4,4,4
5,10,46,0,5,4,4,4,4,4,4,4
5,10,46,0,6,4,4,4,4,4,4,4
5,10,46,0,7,4,4,4,4,4,4,4
5,10,46,0,8,4,4,4,4,4,4,4
5,10,46,1,0,4,4,4,4,4,4,4
5,10,46,1,1,4,4,4,4,4,4,4
5,10,46,1,2,4,4,4,4,4,4,4
5,10,46,1,3,4,4,4,4,4,4,4
5,10,46,1,4,4,4,4,4,4,4,4
5,10,46,1,5,4,4,4,4,4,4,4
5,10,46,1,6,4,4,4,4,4,4,4
5,10,46,1,7,4,4,4,4,4,4,4
5,10,46,1,8,4,4,4,4,4,4,4
5,10,46,2,0,4,4,4,4,4,4,4
5,10,46,2,1,4,4,4,4,4,4,4
5,10,46,2,2,4,4,4,4,4,4,4
5,10,46,2,3,4,4,4,4,4,4,4
5,10,46,2,4,4,4,4,4,4,4,4
5,10,46,2,5,4,4,4,4,4,4,4
5,10,46,2,6,4,4,4,4,4,4,4
5,10,46,2,7,4,4,4,4,4,4,4
5,10,46,2,8,4,4,4,4,4,4,4
5,10,46,3,0,4,4,4,4,4,4,4
5,10,46,3,1,4,4,4,4,4,4,4
5,10,46,3,2,4,4,4,4,4,4,4
5,10,46,3,3,4,4,4,4,4,4,4
5,10,46,3,4,4,4,4,4,4,4,4
5,10,46,3,5,4,4,4,4,4,4,4
5,10,46,3,6,4,4,4,4,4,4,4
5,10,46,3,7,4,4,4,4,4,4,4
5,10,46,3,8,4,4,4,4,4,4,4
5,10,47,0,0,4,4,4,4,4,4,4
5,10,47,0,1,4,4,4,4,4,4,4
5,10,47,0,2,4,4,4,4,4,4,4
5,10,47,0,3,4,4,4,4,4,4,4
5,10,47,0,4,4,4,4,4,4,4,4
5,10,47,0,5,4,4,4,4,4,4,4
5,10,47,0,6,4,4,4,4,4,4,4
5,10,47,0,7,4,4,4,4,4,4,4
5,10,47,0,8,4,4,4,4,4,4,4
5,10,47,1,0,4,4,4,4,4,4,4
5,10,47,1,1,4,4,4,4,4,4,4
5,10,47,1,2,4,4,4,4,4,4,4
5,10,47,1,3,4,4,4,4,4,4,4
5,10,47,1,4,4,4,4,4,4,4,4
5,10,47,1,5,4,4,4,4,4,4,4
5,10,47,1,6,4,4,4,4,4,4,4
5,10,47,1,7,4,4,4,4,4,4,4
5,10,47,1,8,4,4,4,4,4,4,4
5,10,47,2,0,4,4,4,4,4,4,4
5,10,47,2,1,4,4,4,4,4,4,4
5,10,47,2,2,4,4,4,4,4,4,4
5,10,47,2,3,4,4,4,4,4,4,4
5,10,47,2,4,4,4,4,4,4,4,4
5,10,47,2,5,4,4,4,4,4,4,4
5,10,47,2,6,4,4,4,4,4,4,4
5,10,47,2,7,4,4,4,4,4,4,4
5,10,47,2,8,4,4,4,4,4,4,4
5,10,47,3,0,4,4,4,4,4,4,4
5,10,47,3,1,4,4,4,4,4,4,4
5,10,47,3,2,4,4,4,4,4,4,4
5,10,47,3,3,4,4,4,4,4,4,4
5,10,47,3,4,4,4,4,4,4,4,4
5,10,47,3,5,4,4,4,4,4,4,4
5,10,47,3,6,4,4,4,4,4,4,4
5,10,47,3,7,4,4,4,4,4,4,4
5,10,47,3,8,4,4,4,4,4,4,4
5,10,48,0,0,4,4,4,4,4,4,4
5,10,48,0,1,4,4,4,4,4,4,4
5,10,48,0,2,4,4,4,4,4,4,4
5,10,48,0,3,4,4,4,4,4,4,4
5,10,48,0,4,4,4,4,4,4,4,4
5,10,48,0,5,4,4,4,4,4,4,4
5,10,48,0,6,4,4,4,4,4,4,4
5,10,48,0,7,4,4,4,4,4,4,4
5,10,48,0,8,4,4,4,4,4,4,4
5,10,48,1,0,4,4,4,4,4,4,4
5,10,48,1,1,4,4,4,4,4,4,4
5,10,48,1,2,4,4,4,4,4,4,4
5,10,48,1,3,4,4,4,4,4,4,4
5,10,48,1,4,4,4,4,4,4,4,4
5,10,48,1,5,4,4,4,4,4,4,4
5,10,48,1,6,4,4,4,4,4,4,4
5,10,48,1,7,4,4,4,4,4,4,4
5,10,48,1,8,4,4,4,4,4,4,4
5,10,48,2,0,4,4,4,4,4,4,4
5,10,48,2,1,4,4,4,4,4,4,4
5,10,48,2,2,4,4,4,4,4,4,4
5,10,48,2,3,4,4,4,4,4,4,4
5,10,48,2,4,4,4,4,4,4,4,4
5,10,48,2,5,4,4,4,4,4,4,4
5,10,48,2,6,4,4,4,4,4,4,4
5,10,48,2,7,4,4,4,4,4,4,4
5,10,48,2,8,4,4,4,4,4,4,4
5,10,48,3,0,4,4,4,4,4,4,4
5,10,48,3,1,4,4,4,4,4,4,4
5,10,48,3,2,4,4,4,4,4,4,4
5,10,48,3,3,4,4,4,4,4,4,4
5,10,48,3,4,4,4,4,4,4,4,4
5,10,48,3,5,4,4,4,4,4,4,4
5,10,48,3,6,4,4,4,4,4,4,4
5,10,48,3,7,4,4,4,4,4,4,4
5,10,48,3,8,4,4,4,4,4,4,4
5,10,49,0,0,4,4,4,4,4,4,4
5,10,49,0,1,4,4,4,4,4,4,4
5,10,49,0,2,4,4,4,4,4,4,4
5,10,49,0,3,4,4,4,4,4,4,4
5,10,49,0,4,4,4,4,4,4,4,4
5,10,49,0,5,4,4,4,4,4,4,4
5,10,49,0,6,4,4,4,4,4,4,4
5,10,49,0,7,4,4,4,4,4,4,4
5,10,49,0,8,4,4,4,4,4,4,4
5,10,49,1,0,4,4,4,4,4,4,4
5,10,49,1,1,4,4,4,4,4,4,4
5,10,49,1,2,4,4,4,4,4,4,4
5,10,49,1,3,4,4,4,4,4,4,4
5,10,49,1,4,4,4,4,4,4,4,4
5,10,49,1,5,4,4,4,4,4,4,4
5,10,49,1,6,4,4,4,4,4,4,4
5,10,49,1,7,4,4,4,4,4,4,4
5,10,49,1,8,4,4,4,4,4,4,4
5,10,49,2,0,4,4,4,4,4,4,4
5,10,49,2,1,4,4,4,4,4,4,4
5,10,49,2,2,4,4,4,4,4,4,4
5,10,49,2,3,4,4,4,4,4,4,4
5,10,49,2,4,4,4,4,4,4,4,4
5,10,49,2,5,4,4,4,4,4,4,4
5,10,49,2,6,4,4,4,4,4,4,4
5,10,49,2,7,4,4,4,4,4,4,4
5,10,49,2,8,4,4,4,4,4,4,4
5,10,49,3,0,4,4,4,4,4,4,4
5,10,49,3,1,4,4,4,4,4,4,4
5,10,49,3,2,4,4,4,4,4,4,4
5,10,49,3,3,4,4,4,4,4,4,4
5,10,49,3,4,4,4,4,4,4,4,4
5,10,49,3,5,4,4,4,4,4,4,4
5,10,49,3,6,4,4,4,4,4,4,4
5,10,49,3,7,4,4,4,4,4,4,4
5,10,49,3,8,4,4,4,4,4,4,4
5,10,50,0,0,4,4,4,4,4,4,4
5,10,50,0,1,4,4,4,4,4,4,4
5,10,50,0,2,4,4,4,4,4,4,4
5,10,50,0,3,4,4,4,4,4,4,4
5,10,50,0,4,4,4,4,4,4,4,4
5,10,50,0,5,4,4,4,4,4,4,4
5,10,50,0,6,4,4,4,4,4,4,4
5,10,50,0,7,4,4,4,4,4,4,4
5,10,50,0,8,4,4,4,4,4,4,4
5,10,50,1,0,4,4,4,4,4,4,4
5,10,50,1,1,4,4,4,4,4,4,4
5,10,50,1,2,4,4,4,4,4,4,4
5,10,50,1,3,4,4,4,4,4,4,4
5,10,50,1,4,4,4,4,4,4,4,4
5,10,50,1,5,4,4,4,4,4,4,4
5,10,50,1,6,4,4,4,4,4,4,4
5,10,50,1,7,4,4,4,4,4,4,4
5,10,50,1,8,4,4,4,4,4,4,4
5,10,50,2,0,4,4,4,4,4,4,4
5,10,50,2,1,4,4,4,4,4,4,4
5,10,50,2,2,4,4,4,4,4,4,4
5,10,50,2,3,4,4,4,4,4,4,4
5,10,50,2,4,4,4,4,4,4,4,4
5,10,50,2,5,4,4,4,4,4,4,4
5,10,50,2,6,4,4,4,4,4,4,4
5,10,50,2,7,4,4,4,4,4,4,4
5,10,50,2,8,4,4,4,4,4,4,4
5,10,50,3,0,4,4,4,4,4,4,4
5,10,50,3,1,4,4,4,4,4,4,4
5,10,50,3,2,4,4,4,4,4,4,4
5,10,50,3,3,4,4,4,4,4,4,4
5,10,50,3,4,4,4,4,4,4,4,4
5,10,50,3,5,4,4,4,4,4,4,4
5,10,50,3,6,4,4,4,4,4,4,4
5,10,50,3,7,4,4,4,4,4,4,4
5,10,50,3,8,4,4,4,4,4,4,4
5,10,51,0,0,4,4,4,4,4,4,4
5,10,51,0,1,4,4,4,4,4,4,4
5,10,51,0,2,4,4,4,4,4,4,4
5,10,51,0,3,4,4,4,4,4,4,4
5,10,51,0,4,4,4,4,4,4,4,4
5,10,51,0,5,4,4,4,4,4,4,4
5,10,51,0,6,4,4,4,4,4,4,4
5,10,51,0,7,4,4,4,4,4,4,4
5,10,51,0,8,4,4,4,4,4,4,4
5,10,51,1,0,4,4,4,4,4,4,4
5,10,51,1,1,4,4,4,4,4,4,4
