tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
7,33,136,2,2,4,4,4,4,4,4,4
7,33,136,2,3,4,4,4,4,4,4,4
7,33,136,2,4,4,4,4,4,4,4,4
7,33,136,2,5,4,4,4,4,4,4,4
7,33,136,2,6,4,4,4,4,4,4,4
7,33,136,2,7,4,4,4,4,4,4,4
7,33,136,2,8,4,4,4,4,4,4,4
7,33,136,3,0,4,4,4,4,4,4,4
7,33,136,3,1,4,4,4,4,4,4,4
7,33,136,3,2,4,4,4,4,4,4,4
7,33,136,3,3,4,4,4,4,4,4,4
7,33,136,3,4,4,4,4,4,4,4,4
7,33,136,3,5,4,4,4,4,4,4,4
7,33,136,3,6,4,4,4,4,4,4,4
7,33,136,3,7,4,4,4,4,4,4,4
7,33,136,3,8,4,4,4,4,4,4,4
7,33,136,4,0,4,4,4,4,4,4,4
7,33,136,4,1,4,4,4,4,4,4,4
7,33,136,4,2,4,4,4,4,4,4,4
7,33,136,4,3,4,4,4,4,4,4,4
7,33,136,4,4,4,4,4,4,4,4,4
7,33,136,4,5,4,4,4,4,4,4,4
7,33,136,4,6,4,4,4,4,4,4,4
7,33,136,4,7,4,4,4,4,4,4,4
7,33,136,4,8,4,4,4,4,4,4,4
7,33,136,5,0,4,4,4,4,4,4,4
7,33,136,5,1,4,4,4,4,4,4,4
7,33,136,5,2,4,4,4,4,4,4,4
7,33,136,5,3,4,4,4,4,4,4,4
7,33,136,5,4,4,4,4,4,4,4,4
7,33,136,5,5,4,4,4,4,4,4,4
7,33,136,5,6,4,4,4,4,4,4,4
7,33,136,5,7,4,4,4,4,4,4,4
7,33,136,5,8,4,4,4,4,4,4,4
7,33,137,0,0,4,4,4,4,4,4,4
7,33,137,0,1,4,4,4,4,4,4,4
7,33,137,0,2,4,4,4,4,4,4,4
7,33,137,0,3,4,4,4,4,4,4,4
7,33,137,0,4,4,4,4,4,4,4,4
7,33,137,0,5,4,4,4,4,4,4,4
7,33,137,0,6,4,4,4,4,4,4,4
7,33,137,0,7,4,4,4,4,4,4,4
7,33,137,0,8,4,4,4,4,4,4,4
7,33,137,1,0,4,4,4,4,4,4,4
7,33,137,1,1,4,4,4,4,4,4,4
7,33,137,1,2,4,4,4,4,4,4,4
7,33,137,1,3,4,4,4,4,4,4,4
7,33,137,1,4,4,4,4,4,4,4,4
7,33,137,1,5,4,4,4,4,4,4,4
7,33,137,1,6,4,4,4,4,4,4,4
7,33,137,1,7,4,4,4,4,4,4,4
7,33,137,1,8,4,4,4,4,4,4,4
