tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
17,108,72,2,8,3,3,3,3,3,3,3
17,108,72,3,0,3,3,3,3,3,3,3
17,108,72,3,1,3,3,3,3,3,3,3
17,108,72,3,2,3,3,3,3,3,3,3
17,108,72,3,3,3,3,3,3,3,3,3
17,108,72,3,4,3,3,3,3,3,3,3
17,108,72,3,5,3,3,3,3,3,3,3
17,108,72,3,6,3,3,3,3,3,3,3
17,108,72,3,7,3,3,3,3,3,3,3
17,108,72,3,8,3,3,3,3,3,3,3
17,108,72,4,0,3,3,3,3,3,3,3
17,108,72,4,1,3,3,3,3,3,3,3
17,108,72,4,2,3,3,3,3,3,3,3
17,108,72,4,3,3,3,3,3,3,3,3
17,108,72,4,4,3,3,3,3,3,3,3
17,108,72,4,5,3,3,3,3,3,3,3
17,108,72,4,6,3,3,3,3,3,3,3
17,108,72,4,7,3,3,3,3,3,3,3
17,108,72,4,8,3,3,3,3,3,3,3
17,108,72,5,0,3,3,3,3,3,3,3
17,108,72,5,1,3,3,3,3,3,3,3
17,108,72,5,2,3,3,3,3,3,3,3
17,108,72,5,3,3,3,3,3,3,3,3
17,108,72,5,4,3,3,3,3,3,3,3
17,108,72,5,5,3,3,3,3,3,3,3
17,108,72,5,6,3,3,3,3,3,3,3
17,108,72,5,7,3,3,3,3,3,3,3
17,108,72,5,8,3,3,3,3,3,3,3
17,108,73,0,0,3,3,3,3,3,3,3
17,108,73,0,1,3,3,3,3,3,3,3
17,108,73,0,2,3,3,3,3,3,3,3
17,108,73,0,3,3,3,3,3,3,3,3
17,108,73,0,4,3,3,3,3,3,3,3
17,108,73,0,5,3,3,3,3,3,3,3
17,108,73,0,6,3,3,3,3,3,3,3
17,108,73,0,7,3,3,3,3,3,3,3
17,108,73,0,8,3,3,3,3,3,3,3
17,108,73,1,0,3,3,3,3,3,3,3
17,108,73,1,1,3,3,3,3,3,3,3
17,108,73,1,2,3,3,3,3,3,3,3
17,108,73,1,3,3,3,3,3,3,3,3
17,108,73,1,4,3,3,3,3,3,3,3
17,108,73,1,5,3,3,3,3,3,3,3
17,108,73,1,6,3,3,3,3,3,3,3
17,108,73,1,7,3,3,3,3,3,3,3
17,108,73,1,8,3,3,3,3,3,3,3
17,108,73,2,0,3,3,3,3,3,3,3
17,108,73,2,1,3,3,3,3,3,3,3
17,108,73,2,2,3,3,3,3,3,3,3
17,108,73,2,3,3,3,3,3,3,3,3
17,108,73,2,4,3,3,3,3,3,3,3
17,108,73,2,5,3,3,3,3,3,3,3
17,108,73,2,6,3,3,3,3,3,3,3
17,108,73,2,7,3,3,3,3,3,3,3
17,108,73,2,8,3,3,3,3,3,3,3
17,108,73,3,0,3,3,3,3,3,3,3
17,108,73,3,1,3,3,3,3,3,3,3
17,108,73,3,2,3,3,3,3,3,3,3
17,108,73,3,3,3,3,3,3,3,3,3
17,108,73,3,4,3,3,3,3,3,3,3
17,108,73,3,5,3,3,3,3,3,3,3
17,108,73,3,6,3,3,3,3,3,3,3
17,108,73,3,7,3,3,3,3,3,3,3
17,108,73,3,8,3,3,3,3,3,3,3
17,108,73,4,0,3,3,3,3,3,3,3
17,108,73,4,1,3,3,3,3,3,3,3
17,108,73,4,2,3,3,3,3,3,3,3
17,108,73,4,3,3,3,3,3,3,3,3
17,108,73,4,4,3,3,3,3,3,3,3
17,108,73,4,5,3,3,3,3,3,3,3
17,108,73,4,6,3,3,3,3,3,3,3
17,108,73,4,7,3,3,3,3,3,3,3
17,108,73,4,8,3,3,3,3,3,3,3
17,108,73,5,0,3,3,3,3,3,3,3
17,108,73,5,1,3,3,3,3,3,3,3
17,108,73,5,2,3,3,3,3,3,3,3
17,108,73,5,3,3,3,3,3,3,3,3
17,108,73,5,4,3,3,3,3,3,3,3
17,108,73,5,5,3,3,3,3,3,3,3
17,108,73,5,6,3,3,3,3,3,3,3
