tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
11,20,139,5,7,4,4,2,4,4,4,4
11,20,139,5,8,4,4,2,4,4,4,4
11,21,137,4,0,4,4,4,2,4,4,4
11,21,137,4,1,4,4,4,2,4,4,4
11,21,137,4,2,4,4,4,2,4,4,4
11,21,137,4,3,4,4,4,2,4,4,4
11,21,137,4,4,4,4,4,2,4,4,4
11,21,137,4,5,4,4,4,2,4,4,4
11,21,137,4,6,4,4,4,2,4,4,4
11,21,137,4,7,4,4,4,2,4,4,4
11,21,137,4,8,4,4,4,2,4,4,4
11,21,137,5,0,4,4,4,2,4,4,4
11,21,137,5,1,4,4,4,2,4,4,4
11,21,137,5,2,4,4,4,2,4,4,4
11,21,137,5,3,4,4,4,2,4,4,4
11,21,137,5,4,4,4,4,2,4,4,4
11,21,137,5,5,4,4,4,2,4,4,4
11,21,137,5,6,4,4,4,2,4,4,4
11,21,137,5,7,4,4,4,2,4,4,4
11,21,137,5,8,4,4,4,2,4,4,4
11,21,138,4,0,4,4,4,4,4,4,4
11,21,138,4,1,4,4,4,4,4,4,4
11,21,138,4,2,4,4,4,4,4,4,4
11,21,138,4,3,4,4,4,4,4,4,4
11,21,138,4,4,4,4,4,4,4,4,4
11,21,138,4,5,4,4,4,4,4,4,4
11,21,138,4,6,4,4,4,4,4,4,4
11,21,138,4,7,4,4,4,4,4,4,4
11,21,138,4,8,4,4,4,4,4,4,4
11,21,138,5,0,4,4,4,4,4,4,4
11,21,138,5,1,4,4,4,4,4,4,4
11,21,138,5,2,4,4,4,4,4,4,4
11,21,138,5,3,4,4,4,4,4,4,4
11,21,138,5,4,4,4,4,4,4,4,4
11,21,138,5,5,4,4,4,4,4,4,4
11,21,138,5,6,4,4,4,4,4,4,4
11,21,138,5,7,4,4,4,4,4,4,4
11,21,138,5,8,4,4,4,4,4,4,4
11,21,139,4,0,4,4,2,4,4,4,4
11,21,139,4,1,4,4,2,4,4,4,4
11,21,139,4,2,4,4,2,4,4,4,4
11,21,139,4,3,4,4,2,4,4,4,4
11,21,139,4,4,4,4,2,4,4,4,4
11,21,139,4,5,4,4,2,4,4,4,4
11,21,139,4,6,4,4,2,4,4,4,4
11,21,139,4,7,4,4,2,4,4,4,4
11,21,139,4,8,4,4,2,4,4,4,4
11,21,139,5,0,4,4,2,4,4,4,4
11,21,139,5,1,4,4,2,4,4,4,4
11,21,139,5,2,4,4,2,4,4,4,4
11,21,139,5,3,4,4,2,4,4,4,4
11,21,139,5,4,4,4,2,4,4,4,4
11,21,139,5,5,4,4,2,4,4,4,4
11,21,139,5,6,4,4,2,4,4,4,4
11,21,139,5,7,4,4,2,4,4,4,4
11,21,139,5,8,4,4,2,4,4,4,4
12,0,137,4,0,4,4,4,2,4,4,4
12,0,137,4,1,4,4,4,2,4,4,4
12,0,137,4,2,4,4,4,2,4,4,4
12,0,137,4,3,4,4,4,2,4,4,4
12,0,137,4,4,4,4,4,2,4,4,4
12,0,137,4,5,4,4,4,2,4,4,4
12,0,137,4,6,4,4,4,2,4,4,4
12,0,137,4,7,4,4,4,2,4,4,4
12,0,137,4,8,4,4,4,2,4,4,4
12,0,137,5,0,4,4,4,2,4,4,4
12,0,137,5,1,4,4,4,2,4,4,4
12,0,137,5,2,4,4,4,2,4,4,4
12,0,137,5,3,4,4,4,2,4,4,4
12,0,137,5,4,4,4,4,2,4,4,4
12,0,137,5,5,4,4,4,2,4,4,4
12,0,137,5,6,4,4,4,2,4,4,4
12,0,137,5,7,4,4,4,2,4,4,4
12,0,137,5,8,4,4,4,2,4,4,4
12,0,138,4,0,4,4,4,4,4,4,4
12,0,138,4,1,4,4,4,4,4,4,4
12,0,138,4,2,4,4,4,4,4,4,4
12,0,138,4,3,4,4,4,4,4,4,4
12,0,138,4,4,4,4,4,4,4,4,4
12,0,138,4,5,4,4,4,4,4,4,4
12,0,138,4,6,4,4,4,4,4,4,4
12,0,138,4,7,4,4,4,4,4,4,4
12,0,138,4,8,4,4,4,4,4,4,4
12,0,138,5,0,4,4,4,4,4,4,4
12,0,138,5,1,4,4,4,4,4,4,4
12,0,138,5,2,4,4,4,4,4,4,4
12,0,138,5,3,4,4,4,4,4,4,4
12,0,138,5,4,4,4,4,4,4,4,4
12,0,138,5,5,4,4,4,4,4,4,4
12,0,138,5,6,4,4,4,4,4,4,4
12,0,138,5,7,4,4,4,4,4,4,4
12,0,138,5,8,4,4,4,4,4,4,4
12,0,139,4,0,4,4,2,4,4,4,4
12,0,139,4,1,4,4,2,4,4,4,4
12,0,139,4,2,4,4,2,4,4,4,4
12,0,139,4,3,4,4,2,4,4,4,4
12,0,139,4,4,4,4,2,4,4,4,4
12,0,139,4,5,4,4,2,4,4,4,4
12,0,139,4,6,4,4,2,4,4,4,4
12,0,139,4,7,4,4,2,4,4,4,4
12,0,139,4,8,4,4,2,4,4,4,4
12,0,139,5,0,4,4,2,4,4,4,4
12,0,139,5,1,4,4,2,4,4,4,4
12,0,139,5,2,4,4,2,4,4,4,4
12,0,139,5,3,4,4,2,4,4,4,4
12,0,139,5,4,4,4,2,4,4,4,4
12,0,139,5,5,4,4,2,4,4,4,4
12,0,139,5,6,4,4,2,4,4,4,4
12,0,139,5,7,4,4,2,4,4,4,4
